goos: darwin
goarch: arm64
pkg: github.com/muthuishere/cljgo/spikes/s11-result-rep
cpu: Apple M5 Pro
BenchmarkConstructDestructure_A-18    	753268086	         1.592 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructDestructure_A-18    	754967449	         1.588 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructDestructure_A-18    	757597480	         1.592 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructDestructure_A-18    	757357410	         1.594 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructDestructure_B-18    	 9546463	       114.4 ns/op	     624 B/op	       4 allocs/op
BenchmarkConstructDestructure_B-18    	 9201127	       115.4 ns/op	     624 B/op	       4 allocs/op
BenchmarkConstructDestructure_B-18    	 9350348	       115.7 ns/op	     624 B/op	       4 allocs/op
BenchmarkConstructDestructure_B-18    	10021228	       116.8 ns/op	     624 B/op	       4 allocs/op
BenchmarkConstructDestructure_B-18    	 9722253	       113.0 ns/op	     624 B/op	       4 allocs/op
BenchmarkConstructDestructure_C-18    	733712911	         1.636 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructDestructure_C-18    	735809977	         1.640 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructDestructure_C-18    	730514844	         1.642 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructDestructure_C-18    	726525102	         1.639 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructDestructure_C-18    	724419865	         1.649 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructDestructure_D-18    	708487260	         1.697 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructDestructure_D-18    	711131127	         1.692 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructDestructure_D-18    	707991057	         1.691 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructDestructure_D-18    	708806353	         1.696 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructDestructure_D-18    	707166170	         1.693 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructOkNil_A-18          	776443566	         1.549 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructOkNil_A-18          	774135278	         1.548 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructOkNil_A-18          	778833682	         1.547 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructOkNil_A-18          	771195423	         1.555 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructOkNil_A-18          	775640367	         1.551 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructNone_D-18           	771426367	         1.554 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructNone_D-18           	770675785	         1.564 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructNone_D-18           	772797526	         1.558 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructNone_D-18           	770105158	         1.559 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstructNone_D-18           	771769321	         1.560 ns/op	       0 B/op	       0 allocs/op
BenchmarkEquiv_A-18                   	81309538	        13.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkEquiv_A-18                   	91723834	        12.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkEquiv_A-18                   	96617710	        12.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkEquiv_A-18                   	93732907	        13.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkEquiv_A-18                   	91443375	        13.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkEquiv_B-18                   	41364987	        28.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkEquiv_B-18                   	42796768	        28.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkEquiv_B-18                   	42834831	        28.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkEquiv_B-18                   	42573633	        28.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkEquiv_B-18                   	44209208	        28.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkEquiv_C-18                   	261950727	         4.573 ns/op	       0 B/op	       0 allocs/op
BenchmarkEquiv_C-18                   	262240268	         4.583 ns/op	       0 B/op	       0 allocs/op
BenchmarkEquiv_C-18                   	263699943	         4.548 ns/op	       0 B/op	       0 allocs/op
BenchmarkEquiv_C-18                   	261559522	         4.572 ns/op	       0 B/op	       0 allocs/op
BenchmarkEquiv_C-18                   	263814030	         4.550 ns/op	       0 B/op	       0 allocs/op
BenchmarkEquiv_D-18                   	276070496	         4.348 ns/op	       0 B/op	       0 allocs/op
BenchmarkEquiv_D-18                   	274063435	         4.360 ns/op	       0 B/op	       0 allocs/op
BenchmarkEquiv_D-18                   	277111885	         4.356 ns/op	       0 B/op	       0 allocs/op
BenchmarkEquiv_D-18                   	272744731	         4.390 ns/op	       0 B/op	       0 allocs/op
BenchmarkEquiv_D-18                   	275294550	         4.329 ns/op	       0 B/op	       0 allocs/op
BenchmarkEquivNotEqual_A-18           	120452046	         9.924 ns/op	       0 B/op	       0 allocs/op
BenchmarkEquivNotEqual_A-18           	124674471	         9.606 ns/op	       0 B/op	       0 allocs/op
BenchmarkEquivNotEqual_A-18           	122594157	         9.785 ns/op	       0 B/op	       0 allocs/op
BenchmarkEquivNotEqual_A-18           	122127372	         9.800 ns/op	       0 B/op	       0 allocs/op
BenchmarkEquivNotEqual_A-18           	122941828	         9.786 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashEq_A-18                  	169970647	         7.033 ns/op	       0 B/op	       0 allocs/op
BenchmarkHashEq_A-18                  	174037076	         6.913 ns/op	       0 B/op	       0 allocs/op
