goos: darwin
goarch: arm64
pkg: github.com/muthuishere/cljgo/spikes/s6-var-indirection
cpu: Apple M5 Pro
BenchmarkFact20_4_VarPerCall-18                  	 3681967	       327.7 ns/op	     440 B/op	      35 allocs/op
BenchmarkFact20_4_VarPerCall-18                  	 3650829	       328.8 ns/op	     440 B/op	      35 allocs/op
BenchmarkFact20_4_VarPerCall-18                  	 3641268	       327.9 ns/op	     440 B/op	      35 allocs/op
BenchmarkFact20_4_VarPerCall-18                  	 3651560	       329.4 ns/op	     440 B/op	      35 allocs/op
BenchmarkFact20_5_VarHoisted-18                  	 3587311	       334.9 ns/op	     440 B/op	      35 allocs/op
BenchmarkFact20_5_VarHoisted-18                  	 3588369	       334.1 ns/op	     440 B/op	      35 allocs/op
BenchmarkFact20_5_VarHoisted-18                  	 3592815	       336.9 ns/op	     440 B/op	      35 allocs/op
BenchmarkFact20_5_VarHoisted-18                  	 3587214	       349.0 ns/op	     440 B/op	      35 allocs/op
BenchmarkFact20_5_VarHoisted-18                  	 2702632	       429.8 ns/op	     440 B/op	      35 allocs/op
BenchmarkDeref_AtomicValue-18                    	692799645	         1.750 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_AtomicValue-18                    	695541794	         1.680 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_AtomicValue-18                    	706705106	         1.679 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_AtomicValue-18                    	714941608	         1.673 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_AtomicValue-18                    	720178423	         1.682 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_AtomicPointer-18                  	714154998	         1.655 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_AtomicPointer-18                  	741020145	         1.622 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_AtomicPointer-18                  	738969152	         1.630 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_AtomicPointer-18                  	741291181	         1.616 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_AtomicPointer-18                  	744369153	         1.609 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_Mutex-18                          	274104334	         4.380 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_Mutex-18                          	274965428	         4.366 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_Mutex-18                          	274146969	         4.354 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_Mutex-18                          	274728261	         4.385 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_Mutex-18                          	273974374	         4.362 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_RWMutex-18                        	365530429	         3.328 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_RWMutex-18                        	356562116	         3.421 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_RWMutex-18                        	355203859	         3.385 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_RWMutex-18                        	365140816	         3.281 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_RWMutex-18                        	367367556	         3.270 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_AtomicValue_Parallel-18           	1000000000	         0.03567 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_AtomicValue_Parallel-18           	1000000000	         0.03535 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_AtomicValue_Parallel-18           	1000000000	         0.03607 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_AtomicValue_Parallel-18           	1000000000	         0.03549 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_AtomicValue_Parallel-18           	1000000000	         0.03527 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_Mutex_Parallel-18                 	19639960	        59.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_Mutex_Parallel-18                 	20230684	        58.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_Mutex_Parallel-18                 	20494705	        59.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_Mutex_Parallel-18                 	20340864	        59.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeref_Mutex_Parallel-18                 	19686303	        58.85 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/muthuishere/cljgo/spikes/s6-var-indirection	109.716s
